Trajectory ID, Date Time, Latitude,Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
140714,2023-07-12 14:10:14,25.7582969665,-80.3733596801,90.5000000000,23.5812549591,0.0000000000
140714,2023-07-12 14:10:33,25.7583351135,-80.3733901977,90.5000000000,23.7356052398,0.0000000000
140714,2023-07-12 14:10:43,25.7583351135,-80.3733901977,90.5000000000,23.8385047912,0.0000000000
140714,2023-07-12 14:10:49,25.7583713531,-80.3734054565,90.5000000000,24.3701553344,0.0000000000
140714,2023-07-12 14:10:58,25.7583713531,-80.3734054565,90.5000000000,24.3015556335,0.0000000000
140714,2023-07-12 14:11:08,25.7583713531,-80.3734054565,90.5000000000,24.7303047180,0.0000000000
141502,2023-07-12 14:16:26,25.7582740783,-80.3733367919,88.3625030517,24.0957546234,2697.8979492187
141502,2023-07-12 14:16:51,25.7582874298,-80.3733444213,90.3874969482,-1.0000000000,0.0000000000
141502,2023-07-12 14:17:04,25.7582912445,-80.3733520507,90.5000000000,23.5812549591,0.0000000000
141502,2023-07-12 14:17:05,25.7582912445,-80.3733520507,90.5000000000,24.3015556335,0.0000000000
141502,2023-07-12 14:17:19,25.7583026885,-80.3733596801,90.5000000000,23.9585552215,0.0000000000
141502,2023-07-12 14:17:27,25.7583026885,-80.3733596801,90.5000000000,23.5298042297,0.0000000000
141502,2023-07-12 14:17:37,25.7583389282,-80.3733901977,90.5000000000,23.5298042297,0.0000000000
141502,2023-07-12 14:17:53,25.7583618164,-80.3734054565,90.5000000000,23.9585552215,0.0000000000
141502,2023-07-12 14:18:00,25.7583618164,-80.3734054565,90.5000000000,-1.0000000000,0.0000000000
141502,2023-07-12 14:18:10,25.7583808898,-80.3733978271,90.3874969482,23.5298042297,0.0000000000
141502,2023-07-12 14:18:12,25.7583808898,-80.3733978271,90.5000000000,24.1986541748,0.0000000000
141502,2023-07-12 14:18:20,25.7583808898,-80.3733978271,90.3874969482,23.9242553710,0.0000000000
142238,2023-07-12 14:25:10,25.7582778930,-80.3733215332,90.3874969482,-1.0000000000,0.0000000000
142238,2023-07-12 14:25:33,25.7582683563,-80.3733444213,90.5000000000,23.6327056884,0.0000000000
142238,2023-07-12 14:25:36,25.7582683563,-80.3733444213,90.5000000000,23.5298042297,0.0000000000
142238,2023-07-12 14:25:49,25.7582740783,-80.3733520507,90.5000000000,23.7184543609,0.0000000000
142238,2023-07-12 14:25:58,25.7582912445,-80.3733520507,90.5000000000,23.6155548095,0.0000000000
142238,2023-07-12 14:26:13,25.7582931518,-80.3733520507,90.6125030517,23.9928550720,0.0000000000
142238,2023-07-12 14:26:24,25.7583122253,-80.3733749389,90.6125030517,24.0271549224,0.0000000000
142238,2023-07-12 14:26:48,25.7583522796,-80.3733825683,90.6125030517,-1.0000000000,0.0000000000
142238,2023-07-12 14:26:58,25.7583618164,-80.3733825683,90.7249984741,23.5812549591,0.0000000000
142238,2023-07-12 14:27:00,25.7583618164,-80.3733825683,90.6125030517,23.8213539123,0.0000000000
142238,2023-07-12 14:27:09,25.7583923339,-80.3733901977,90.5000000000,23.5298042297,0.0000000000
142238,2023-07-12 14:27:23,25.7584114074,-80.3733901977,90.5000000000,-1.0000000000,0.0000000000
152439,2023-07-12 15:25:32,25.7578048706,-80.3733978271,91.5124969482,23.4783554077,0.0000000000
152439,2023-07-12 15:25:37,25.7578048706,-80.3733901977,91.5124969482,23.7356052398,0.0000000000
152439,2023-07-12 15:26:17,25.7578125000,-80.3733901977,91.2874984741,23.5298042297,0.0000000000
152439,2023-07-12 15:26:23,25.7578125000,-80.3733901977,91.2874984741,23.6327056884,0.0000000000
152439,2023-07-12 15:26:34,25.7578125000,-80.3733901977,91.2874984741,24.0957546234,0.0000000000
152439,2023-07-12 15:26:41,25.7578125000,-80.3733901977,91.2874984741,23.7356052398,0.0000000000
152439,2023-07-12 15:26:51,25.7578048706,-80.3734512329,91.2874984741,23.8899555206,0.0000000000
152439,2023-07-12 15:27:02,25.7577972412,-80.3734664916,91.4000015258,23.5298042297,0.0000000000
152439,2023-07-12 15:27:17,25.7577934265,-80.3734893798,91.4000015258,23.5298042297,0.0000000000
